"","x"
"140","Good"
"141","Bagus pesan hotel"
"142","Awas hati-hati Jebakan Batman, Saya pesan kamar 10hr, harga awal 123rb/malam Pas d total malah sampai 3.2jt Jebakan Jebakan Jebakan,,"
"143","Hotel nya bersih"
"144","jos"
"145","Good"
"146","Mantap"
"147","Karna harga murah"
"148","Mantap"
"149","Aplikasi eror ga bisa mesen tgl 25 nov mesen udah tf tapi udah tlp call center bilang di refound 14 - 40 hari kerja sampe skarang belom di refound sama sekali sumpah kecewa banget ."
"150","Bagus dan cepat"
"151","Ok"
"152","Apl ini awal ny bagus, sekatang jadi jelek oleh sistem nya sndri, di aplikasi nya hotel kasmaran guest hous menerima pasangan. Ketika sudah bayar dan di lokasi, hotel tersebut tidak terima pasangan ( syariah) . Uang saya hangus tidak dapat di kembalikan. Saya jadi rugi waktu dan uang. Sangat tidak b...Ulasan LengkapApl ini awal ny bagus, sekatang jadi jelek oleh sistem nya sndri, di aplikasi nya hotel kasmaran guest hous menerima pasangan. Ketika sudah bayar dan di lokasi, hotel tersebut tidak terima pasangan ( syariah) . Uang saya hangus tidak dapat di kembalikan. Saya jadi rugi waktu dan uang. Sangat tidak bertanggung jawab."
"153","ok"
"154","Gabisa mesen yaa??? Ada kesalahan mulu:("
"155","Good"
"156","Great Apps"
"157","Sistem booking masih kacau. Booking biar deket sm tempat acara, udah dapet kamar, transfer udah, tinggal check in, hampir sampe hotel di telpon katanya ga bisa check in karena kamar penuh. Di pindah ke tempat lain yang 5x lebih jauh dri tempat acara."
"158","Nyaman"
"159","nicee"
"160","Journey to the place"
"161","Ok"
